BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
5050,5226,66,66,0,37.37982203,37.39723997,-118.3955133,-118.3955679,1.201213707
5051,5227,66,66,0,37.39723997,37.39778298,-118.3955679,-118.3955651,0.048024031
5052,5231,66,66,0,37.39723997,37.35008661,-118.3955679,-118.4630168,7.332555049
5053,5232,115,115,0,37.3022523,37.32779235,-118.5317568,-118.488428,3.016844303
5054,5233,66,66,0,37.27387526,37.30230808,-118.5736963,-118.5317297,3.11610555
5055,5234,66,66,0,37.35977775,37.40939888,-118.7018792,-118.533285,11.85369443
5056,5235,66,66,0,37.40939888,37.41382448,-118.533285,-118.5236917,0.700916442
5057,5236,66,66,0,37.40939888,37.33533426,-118.533285,-118.4819812,6.111999166
5058,5237,115,115,0,37.14205187,37.15446347,-118.3241499,-118.2962192,1.900542482
5059,5238,115,115,0,36.94007331,36.91824102,-118.2569508,-118.1888675,4.775769002
5060,5239,115,115,0,36.80548182,36.79765348,-118.1868314,-118.1512378,2.247443937
5061,5240,115,115,0,36.65069231,36.60076777,-118.0892129,-118.07243,3.871851413
5062,5241,115,115,0,36.00145735,36.00353863,-117.7901753,-117.793496,0.238399935
5063,5242,115,115,0,36.00353863,36.0185685,-117.793496,-117.791512,1.16206162
5064,5243,115,115,0,36.00619876,36.00353863,-117.8101635,-117.793496,1.100326358
5065,5244,66,66,0,36.31291285,36.28395942,-119.6548448,-119.6550088,1.998442683
5066,5245,66,66,0,36.31361259,36.28354819,-119.5923096,-119.4742506,8.627112232
5067,5246,66,66,0,36.28395942,36.31361259,-119.6550088,-119.5923096,5.529600981
5068,5247,66,66,0,36.32653573,36.34239413,-119.439164,-119.3921046,3.723650448
5069,5248,66,66,0,36.34239413,36.34271821,-119.3921046,-119.3920717,0.028757194
5070,5249,66,66,0,36.32656103,36.34248313,-119.4391635,-119.6550006,13.11192113
5071,5250,66,66,0,36.32653573,36.32635318,-119.439164,-119.4394031,0.023470968
5072,5251,66,66,0,36.24026102,36.23992011,-119.474751,-119.4755358,0.06358319
5073,5252,66,66,0,36.28344059,36.28354819,-119.4477625,-119.4742506,1.478958551
5074,5253,66,66,0,36.32635318,36.28344059,-119.4394031,-119.4477625,3.473175888
5075,5254,66,66,0,36.28354819,36.24026102,-119.4742506,-119.474751,2.984919704
5076,5255,66,66,0,36.30429919,36.30589703,-119.2445519,-119.2517081,0.507976797
5077,5256,66,66,0,36.32674243,36.33842459,-119.2518153,-119.2519946,0.805573094
5078,5257,66,66,0,36.30589703,36.32674243,-119.2517081,-119.2518153,1.442505941
5079,5258,66,66,0,36.30429919,36.30551753,-119.2445519,-119.2604203,0.958826062
5080,5259,66,66,0,36.3296647,36.32982895,-119.2787335,-119.2787393,0.014532093
5081,5260,66,66,0,36.30551753,36.30552678,-119.2604203,-119.2608621,0.031498148
5082,5261,66,66,0,36.31273499,36.32005962,-119.2828476,-119.2829496,0.505097471
5083,5262,66,66,0,36.32982895,36.32980099,-119.2787393,-119.2789671,0.01641776
5084,5263,66,66,0,36.32005962,36.32730708,-119.2829496,-119.2786991,0.74202482
5085,5264,66,66,0,36.32730708,36.3296647,-119.2786991,-119.2787335,0.162593833
5086,5265,66,66,0,36.30552678,36.31273499,-119.2608621,-119.2828476,1.593128162
5087,5266,66,66,0,36.30429919,36.29283179,-119.2445519,-119.2519135,1.323960136
5088,5267,66,66,0,36.29845225,36.32635318,-119.2610942,-119.4394031,11.88609988
5089,5268,66,66,0,36.29283179,36.29845225,-119.2519135,-119.2610942,0.89417405
5090,5269,66,66,0,36.30429919,36.29280345,-119.2445519,-119.2474734,1.008633559
5091,5270,66,66,0,36.29280345,36.29283179,-119.2474734,-119.2519135,0.247849117
5092,5271,66,66,0,36.34239413,36.3422791,-119.3921046,-119.3679257,1.348837518
5093,5272,66,66,0,36.3422791,36.34137608,-119.3679257,-119.3672806,0.104121394
5094,5273,66,66,0,36.3422791,36.35651155,-119.3679257,-119.312979,4.049583138
5095,5274,66,66,0,36.35651155,36.35733718,-119.312979,-119.3129715,0.073020403
5096,5275,66,66,0,36.35651155,36.34187216,-119.312979,-119.261134,3.904796608
5097,5276,66,66,0,36.34187216,36.33842459,-119.261134,-119.2519946,0.746856526
5098,5277,66,66,0,36.33842459,36.41415194,-119.2519946,-119.2512599,5.227465225
5099,5278,66,66,0,36.41415194,36.41449435,-119.2512599,-119.2964657,2.525321092
